Fecha,Institución,Pacientes,Positivos,En_estudio
26/05/2020,ISSSTE,6,1,5
26/05/2020,IMSS,140,52,88
26/05/2020,Privados,19,13,6
27/05/2020,SSJ,32,17,15
27/05/2020,HCG,45,18,27
27/05/2020,ISSSTE,6,1,5
27/05/2020,IMSS,143,53,90
27/05/2020,Privados,15,13,2
28/05/2020,SSJ,33,13,20
28/05/2020,HCG,38,17,21
28/05/2020,ISSSTE,6,1,5
28/05/2020,IMSS,151,68,83
28/05/2020,Privados,17,15,2
29/05/2020,SSJ,37,13,24
29/05/2020,HCG,50,20,30
29/05/2020,ISSSTE,6,4,2
29/05/2020,IMSS,172,71,101
29/05/2020,Privados,18,16,2
30/05/2020,SSJ,37,17,20
30/05/2020,HCG,50,30,20
30/05/2020,ISSSTE,7,6,1
30/05/2020,IMSS,178,71,107
30/05/2020,Privados,17,14,3
31/05/2020,SSJ,34,19,15
31/05/2020,HCG,50,21,29
31/05/2020,ISSSTE,8,7,1
31/05/2020,IMSS,189,93,96
31/05/2020,Privados,8,5,3
01/06/2020,SSJ,40,20,20
01/06/2020,HCG,53,19,34
01/06/2020,ISSSTE,10,7,3
01/06/2020,IMSS,188,85,103
01/06/2020,Privados,16,13,3
02/06/2020,SSJ,54,20,34
02/06/2020,HCG,51,27,24
02/06/2020,ISSSTE,14,5,9
02/06/2020,IMSS,251,90,161
02/06/2020,Privados,11,6,5
03/06/2020,SSJ,62,26,36
03/06/2020,HCG,50,32,18
03/06/2020,ISSSTE,15,5,10
03/06/2020,IMSS,261,89,172
03/06/2020,Privados,27,18,9
04/06/2020,SSJ,61,27,34
04/06/2020,HCG,46,30,16
04/06/2020,ISSSTE,17,4,13
04/06/2020,IMSS,278,88,190
04/06/2020,Privados,24,20,4
05/06/2020,SSJ,70,26,44
05/06/2020,HCG,46,30,16
05/06/2020,ISSSTE,16,4,12
05/06/2020,IMSS,259,102,157
05/06/2020,Privados,9,8,1
06/06/2020,SSJ,65,27,38
06/06/2020,HCG,47,29,18
06/06/2020,ISSSTE,13,4,9
06/06/2020,IMSS,260,94,166
06/06/2020,Privados,9,7,2
07/06/2020,SSJ,65,34,31
07/06/2020,HCG,61,24,37
07/06/2020,ISSSTE,12,3,9
07/06/2020,IMSS,273,94,179
07/06/2020,Privados,10,8,2
08/06/2020,SSJ,67,35,32
08/06/2020,HCG,54,21,33
08/06/2020,ISSSTE,13,2,11
08/06/2020,IMSS,280,115,165
08/06/2020,Privados,26,19,7
09/06/2020,SSJ,69,33,36
09/06/2020,HCG,72,25,47
09/06/2020,ISSSTE,15,1,14
09/06/2020,IMSS,350,127,223
09/06/2020,Privados,31,17,14
10/06/2020,SSJ,75,34,41
10/06/2020,HCG,76,29,47
